GENE	REACTION	SUBSTRATES	PRODUCTS
spontaneous	LACTOSE-MUTAROTATION	alpha-lactose	beta-lactose
spontaneous	GALACTOSE-MUTAROTATION	alpha-GALACTOSE	beta-GALACTOSE
spontaneous	GLUCOSE-MUTAROTATION	alpha-glucose	beta-glucose
lacY	TRANS-RXN-24	PER-PROTON, PER-alpha-lactose	PROTON, alpha-lactose
lacY	TRANS-RXN-24-beta	PER-PROTON, PER-beta-lactose	PROTON, beta-lactose
lacY	TRANS-RXN-94	PER-PROTON, PER-MELIBIOSE	PROTON, MELIBIOSE
lacY	RXN0-7215	PER-PROTON, PER-CPD-3561	PROTON, CPD-3561
lacY	RXN0-7217	PER-PROTON, PER-CPD-3785	PROTON, CPD-3785
lacY	RXN-17755	PER-PROTON, PER-CPD-3801	PROTON, CPD-3801
lacZ	BETAGALACTOSID-RXN	beta-lactose, WATER	beta-GALACTOSE, beta-glucose
lacZ	BETAGALACTOSID-RXN-alpha	alpha-lactose, WATER	alpha-GALACTOSE, alpha-glucose
lacZ	RXN0-5363	alpha-lactose	alpha-ALLOLACTOSE
lacZ	RXN0-5363-beta	beta-lactose	beta-ALLOLACTOSE
lacZ	ALLOLACTOSE-DEG-alpha	alpha-ALLOLACTOSE, WATER	alpha-GALACTOSE, alpha-glucose
lacZ	ALLOLACTOSE-DEG-beta	beta-ALLOLACTOSE, WATER	beta-GALACTOSE, beta-glucose
lacZ	RXN-17726	CPD-3561, WATER	beta-GALACTOSE, Fructofuranose
lacZ	RXN0-7219	CPD-3785, WATER	beta-GALACTOSE, D-ARABINOSE
lacA	GALACTOACETYLTRAN-RXN-galactose	beta-GALACTOSE, ACETYL-COA	6-Acetyl-beta-D-Galactose, CO-A
